dataset,accu_tap,accu_hotpot,accu_ocr,accu_q_vit,accu_vit,accu_hotpot_without_mmt,accu_modality_hotpot_run_val_mlm_only,accu_modality_hotpot_run_val_mlm_bbox_100_1,accu_ocr_q_vit_mask_0dot05,accu_m4c,accu_question,accu_object,accu_ocr_q_vit_mask_0dot2,accu_q,accu_hotpot_without_object_label,accu_ocr_q,accu_ocr_q_vit,accu_hotpot_lorra,accu_lorra,accu_modality_hotpot_run_val_retrain,accu_modality_hotpot_run_val_bbox_only,accu_modality_hotpot_run_val_mlm_only_10000,accu_modality_hotpot_run_val_mlm_bbox
whole,0.49846000000000024,0.4532199999999988,0.25255999999999906,0.1407599999999998,0.058440000000000124,0.41379999999999845,0.46341999999999933,0.4620599999999993,0.40719999999999834,0.39233999999999847,0.18999999999999942,0.12719999999999987,0.4042399999999983,0.12853999999999988,0.4541599999999994,0.44055999999999906,0.43701999999999896,0.29181999999999864,0.2757399999999988,0.4653599999999998,0.4687199999999995,0.46669999999999945,0.47035999999999994
val_hard,0.0,0.0,0.0,0.021048387096774198,0.006935483870967743,0.0,0.045241935483870954,0.04604838709677419,0.023387096774193553,0.0,0.0,0.0,0.026854838709677416,0.021048387096774198,0.0,0.02612903225806452,0.030161290322580643,0.0,0.0,0.06153225806451611,0.06249999999999998,0.04153225806451612,0.045403225806451605
val_yes_or_no,0.7788043478260874,0.7644021739130438,0.10923913043478256,0.7149456521739136,0.4559782608695657,0.7562500000000003,0.7934782608695655,0.7937500000000004,0.7586956521739133,0.7641304347826091,0.7266304347826092,0.19374999999999995,0.7508152173913049,0.7315217391304351,0.7850543478260875,0.7760869565217396,0.779347826086957,0.7644021739130438,0.7323369565217398,0.7815217391304351,0.7652173913043484,0.774184782608696,0.7972826086956527
val_rosetta_contain_gt,0.4582335329341322,0.42230538922155736,0.2806886227544911,0.09610778443113768,0.03158682634730539,0.35943113772455093,0.40838323353293443,0.39895209580838364,0.3773952095808385,0.5673652694610787,0.17245508982035915,0.12035928143712567,0.38293413173652713,0.0895209580838323,0.39775449101796456,0.38607784431137754,0.3806886227544912,0.26736526946107786,0.4251497005988028,0.415718562874252,0.41062874251497034,0.41721556886227584,0.41197604790419196
val_unanswerable,0.3847736625514409,0.35617283950617334,0.13292181069958836,0.2786008230452674,0.1940329218106994,0.311522633744856,0.339300411522634,0.34362139917695517,0.32366255144032957,0.32386831275720174,0.2759259259259258,0.16419753086419742,0.3074074074074075,0.2835390946502057,0.3294238683127574,0.37345679012345717,0.3596707818930046,0.3290123456790125,0.3197530864197531,0.3707818930041157,0.3454732510288068,0.35267489711934186,0.3444444444444449
val_no_ocr_contain_gt,0.3537852548243439,0.3123206333498266,0.07872340425531912,0.17956457199406256,0.08510638297872351,0.26561108362196945,0.3374072241464619,0.34280059376546235,0.26823354774863933,0.2788718456209797,0.15101434933201405,0.03884215734784758,0.24280059376546284,0.17347847600197952,0.31771400296882707,0.30014844136566055,0.29569520039584357,0.19520039584364204,0.16759030183077706,0.34443344878772847,0.3527956457199401,0.3392874814448289,0.3462642256308755
val_abs_pos_question,0.44929292929292947,0.4315151515151518,0.2026262626262626,0.09979797979797977,0.02787878787878789,0.372929292929293,0.4181818181818184,0.41535353535353564,0.35252525252525246,0.35090909090909095,0.13131313131313124,0.1028282828282828,0.324040404040404,0.08242424242424241,0.43757575757575773,0.39838383838383845,0.3997979797979799,0.2266666666666666,0.20969696969696963,0.411717171717172,0.4244444444444446,0.4321212121212123,0.4305050505050509
val_all_pos,0.4509259259259261,0.42944444444444474,0.21370370370370367,0.09518518518518516,0.02611111111111112,0.37648148148148153,0.4181481481481483,0.41740740740740767,0.3559259259259259,0.3492592592592594,0.1431481481481481,0.11166666666666662,0.32944444444444443,0.07925925925925925,0.43296296296296316,0.4066666666666668,0.4031481481481483,0.237037037037037,0.2118518518518518,0.4200000000000002,0.4277777777777779,0.43222222222222245,0.42944444444444485
val_require_reading,0.4979548808770818,0.45323634830276077,0.26185958254269365,0.12352941176470587,0.05127556398903656,0.4127978072949595,0.4623234239932524,0.4612270714737498,0.4055239300021068,0.38853046594981927,0.17857895846510616,0.1291587602783048,0.40303605313092844,0.11117436221800561,0.4522664979970472,0.438309087075689,0.43449293695972874,0.28165717900063153,0.26936538056082554,0.46635041113219444,0.46904912502635393,0.4664979970482808,0.4708201560193964
val_msocr_contain_gt,0.6157090909090903,0.559709090909091,0.37701818181818236,0.10567272727272727,0.040872727272727255,0.5253090909090911,0.5599272727272724,0.5483636363636362,0.49163636363636387,0.29818181818181866,0.2147636363636368,0.17585454545454565,0.5348363636363634,0.09854545454545448,0.5545454545454542,0.5486545454545451,0.5394909090909089,0.35621818181818254,0.20356363636363656,0.552581818181818,0.5517818181818179,0.5599999999999999,0.5597090909090905
val_both_ocr_contain_gt,0.6709455890121483,0.6203380876914931,0.43322768092974073,0.10681458003169578,0.035921817221341766,0.5753829899630206,0.624141574220812,0.6122028526148955,0.5754358161648169,0.6041732699418895,0.24374009508716352,0.22128895932382486,0.5818277865821437,0.09175911251980987,0.6181193872160574,0.6038034865293171,0.5986793449550967,0.391917591125198,0.4549920760697301,0.62525092445853,0.6220813523507646,0.6260961436872675,0.6256207078711025
val_relative_position,0.4284722222222222,0.39375,0.2701388888888888,0.056249999999999994,0.015277777777777779,0.4159722222222222,0.398611111111111,0.3979166666666666,0.34930555555555554,0.34375000000000006,0.25902777777777775,0.21458333333333335,0.36666666666666664,0.04930555555555556,0.41041666666666665,0.41874999999999996,0.3618055555555555,0.3020833333333333,0.2743055555555556,0.38541666666666663,0.3868055555555555,0.38333333333333325,0.3979166666666666
val_not_require_reading,0.507782101167315,0.45291828793774297,0.08093385214007781,0.45875486381322955,0.19066147859922164,0.4322957198443578,0.483657587548638,0.4774319066147858,0.4381322957198442,0.4626459143968871,0.40077821011673154,0.09105058365758756,0.4264591439688714,0.44902723735408545,0.48910505836575874,0.482101167315175,0.483657587548638,0.4793774319066145,0.39338521400778204,0.4470817120622568,0.46264591439688707,0.47042801556420233,0.46186770428015567
